FEN,Average Error,Event,Move,Best Move,Player,To Move,White,Black,Round,Result,WhiteElo,BlackElo,Opening,File
r1bq1rk1/pp2bppp/2n2n2/3p2B1/3N4/2N3P1/PP2PPBP/R2Q1RK1 b - - 0 10,1.8177142857142854,FIDE World Championship Match 1969,h7h6,c8g4,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r2q1rk1/pp2bpp1/2n2n1p/3p4/3N2b1/2N1B1P1/PP2PPBP/R2Q1RK1 w - - 2 12,1.1721428571428567,FIDE World Championship Match 1969,d4b3,h2h3,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r2q1rk1/pp2bpp1/2n2n1p/3p4/6b1/1NN1B1P1/PP2PPBP/R2Q1RK1 b - - 3 12,1.6944186046511625,FIDE World Championship Match 1969,g4e6,d8d7,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r2q1rk1/pp2bpp1/2n1bn1p/3p4/8/1NN1B1P1/PP2PPBP/R2Q1RK1 w - - 4 13,1.6660465116279066,FIDE World Championship Match 1969,a1c1,b3d4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r2q1rk1/pp2bpp1/2n1bn1p/3p4/8/1NN1B1P1/PP2PPBP/2RQ1RK1 b - - 5 13,1.7251219512195126,FIDE World Championship Match 1969,f8e8,d8d7,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r2qr1k1/pp2bpp1/2n1bn1p/3p4/8/1NN1B1P1/PP2PPBP/2RQ1RK1 w - - 6 14,1.701219512195122,FIDE World Championship Match 1969,c3b5,b3d4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r3r1k1/pp1qbpp1/2n1bn1p/1N1p4/8/1N2B1P1/PP2PPBP/2RQ1RK1 w - - 8 15,1.9080434782608697,FIDE World Championship Match 1969,b5d4,e3c5,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r3r1k1/p2qbpp1/2p2n1p/3p4/8/1N1QB1Pb/PP2PPBP/2R2RK1 b - - 1 17,1.4439473684210526,FIDE World Championship Match 1969,h3g2,a7a5,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r3r1k1/3qbpp1/2p2n1p/p2p4/8/1N1QB1P1/PP2PPKP/2R2R2 w - - 0 19,2.0947999999999998,FIDE World Championship Match 1969,c1c2,a2a4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r3r1k1/3qbpp1/2p2n1p/3p4/p7/1N1QB1P1/PPR1PPKP/5R2 w - - 0 20,4.711836734693876,FIDE World Championship Match 1969,b3d2,b3c5,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r3r1k1/3qbpp1/2p2n1p/3p4/p7/3QB1P1/PPRNPPKP/5R2 b - - 1 20,1.251578947368421,FIDE World Championship Match 1969,d7b7,d7e6,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r3r1k1/1q2bpp1/2p2n1p/3p4/p7/3QB1P1/PPRNPPKP/5R2 w - - 2 21,3.1043750000000006,FIDE World Championship Match 1969,g2g1,d2f3,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r3r1k1/1q2bpp1/2p2n1p/3p4/p7/3QB1P1/PPRNPP1P/5RK1 b - - 3 21,1.1044999999999996,FIDE World Championship Match 1969,a8c8,f6d7,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
