FEN,Average Error,Event,Move,Best Move,Player,To Move,White,Black,Round,Result,WhiteElo,BlackElo,Opening,File
4r1k1/pp3pp1/4qnbp/3p4/3P2P1/1P3PN1/P2Q2BP/2R3K1 w - - 2 32,-4.698222222222221,FIDE World Championship Match 1969,g2f1,h2h4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",4,0-1,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4r1k1/pp3pp1/4q1np/2Rp4/P2P1QP1/1P3PN1/7P/1b3BK1 w - - 1 36,-24.518139534883716,FIDE World Championship Match 1969,f4d2,f4c1,White,White,"Petrosian, Tigran V","Spassky, Boris V.",4,0-1,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4r1k1/pp3pp1/5qnp/2Rp4/P2P2P1/1P3PN1/3Q3P/1b3BK1 w - - 3 37,-3.9154166666666654,FIDE World Championship Match 1969,g1f2,f1b5,White,White,"Petrosian, Tigran V","Spassky, Boris V.",4,0-1,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4r1k1/pp3pp1/5q1p/2Rp4/P2P1nP1/1P3PN1/3Q1K1P/1b3B2 w - - 5 38,-18.00560975609756,FIDE World Championship Match 1969,a4a5,c5c3,White,White,"Petrosian, Tigran V","Spassky, Boris V.",4,0-1,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4r1k1/pp3pp1/7p/P1Rp1Nq1/3P1nP1/1P1b1P2/3Q1K1P/5B2 w - - 3 40,-23.23789473684211,FIDE World Championship Match 1969,f5e3,d2d1,White,White,"Petrosian, Tigran V","Spassky, Boris V.",4,0-1,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqk2r/pp3ppp/4p3/3N4/3n4/6P1/PP1QPPBP/R3K2R b KQkq - 0 11,3.3936111111111114,FIDE World Championship Match 1986,d4c6,e6e5,Black,Black,"Kasparov, Garry","Karpov, Anatoly",2,1/2-1/2,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
r1bqk2r/pp3ppp/2n1p3/3N4/8/6P1/PP1QPPBP/R3K2R w KQkq - 1 12,-3.9090909090909083,FIDE World Championship Match 1986,d5f4,d2e3,White,White,"Kasparov, Garry","Karpov, Anatoly",2,1/2-1/2,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
1rrn4/pp1bkppp/4p3/4N3/8/2R3P1/PP1KPPBP/2R5 b - - 14 20,3.0684000000000005,FIDE World Championship Match 1986,c8c3,f7f6,Black,Black,"Kasparov, Garry","Karpov, Anatoly",2,1/2-1/2,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
8/7R/3nk3/4p2p/1P4p1/P2KN1P1/5r1P/8 b - - 6 44,3.8176000000000005,FIDE World Championship Match 1986,e5e4,f2h2,Black,Black,"Kasparov, Garry","Karpov, Anatoly",2,1/2-1/2,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
r3n3/p1Rbk3/1p2p2p/3p1pp1/3P3P/1P1BPPP1/P4K2/6N1 w - - 3 34,-4.144848484848485,FIDE World Championship Match 1986,c7c1,c7c2,White,White,"Karpov, Anatoly","Kasparov, Garry",3,1/2-1/2,2705,2740,"King's Indian Defense: Normal Variation, King's Knight Variation",analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2r1n3/p2bk3/1p2p2p/3p1pp1/3P3P/1P1BPPP1/P4K2/2R3N1 w - - 5 35,-3.5397142857142856,FIDE World Championship Match 1986,c1c8,g1e2,White,White,"Karpov, Anatoly","Kasparov, Garry",3,1/2-1/2,2705,2740,"King's Indian Defense: Normal Variation, King's Knight Variation",analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
r1bq1rk1/pp3ppp/2n1pn2/3P4/3N4/1QP3P1/P3PPBP/R1B1K2R b KQ - 0 10,4.350882352941176,FIDE World Championship Match 1986,c6a5,e6d5,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
